=== figure_2_panel_a ===
Simulation Strategy,Context,Mean KSR
dialogue_corpus,abbreviation_keyword_type_or_fillmask,train_num_examples,train_mean_tokens_per_example,train_sd_tokens_per_example,dev_num_examples,dev_mean_tokens_per_example,dev_sd_tokens_per_example,test_num_examples,test_mean_tokens_per_example,test_sd_tokens_per_example
Turk Dialogues Corrected (TDC),Initials-only,8590,50.5,21.3,2800,50.6,21.4,2800,51.1,21.9
Turk Dialogues Corrected (TDC),Complete,7948,51.5,21.4,2569,51.7,21.6,2545,52.1,21.9
Turk Dialogues Corrected (TDC),Incomplete,15158,60.3,22.4,4902,60.3,22.9,4898,60.5,22.9
Turk Dialogues Corrected (TDC),FillMask,8584,46.2,19.7,2800,46.5,20.0,2798,46.8,20.3
Turk AAC,Initials-only,5019,21.5,5.3,559,22.1,5.5,565,21.0,5.0
Turk AAC,Complete,4352,22.9,5.1,490,23.3,5.3,488,22.3,4.8
Turk AAC,Incomplete,7960,29.9,8.1,904,30.4,8.5,856,29.0,7.9
Turk AAC,FillMask,5019,19.4,2.8,559,19.7,2.9,565,19.2,2.6
DailyDialog Corrected,Initials-only,123650,86.1,70.4,9233,84.4,66.4,8318,82.8,64.0
DailyDialog Corrected,Complete,99202,87.6,69.6,7334,85.9,64.9,6612,84.7,63.3
DailyDialog Corrected,Incomplete,196286,95.6,70.1,14588,93.8,66.0,13198,92.4,63.7
DailyDialog Corrected,FillMask,123426,82.2,69.7,9211,80.4,65.7,8306,79.0,63.2
DailyDialog Corrected,Initials-only,327569,63.1,64.0,41636,60.7,60.3,36772,64.4,68.2
DailyDialog Corrected,Complete,241115,67.4,65.1,30268,64.8,60.4,26464,68.8,68.0
DailyDialog Corrected,Incomplete,472746,74.8,65.7,59124,72.3,61.2,52380,75.7,67.4
DailyDialog Corrected,FillMask,323834,60.0,63.2,41030,57.8,59.5,36057,61.1,67.0

